n_subjects	mode	test	time	memory
10	no-database-load	init	0.2803683280944824	2777.703125
10	no-database-load	add_subject	0.1177973747253418	2777.703125
10	database-load	init	0.135087251663208	2777.703125
10	database-load	add_subject	0.06128716468811035	2777.703125
100	no-database-load	init	0.6741690635681152	2777.703125
100	no-database-load	add_subject	0.6578106880187988	2777.703125
100	database-load	init	0.1406569480895996	2777.703125
100	database-load	add_subject	0.10841655731201172	2777.703125
1000	no-database-load	init	6.025045156478882	2777.703125
1000	no-database-load	add_subject	8.28902292251587	2146.3125
1000	database-load	init	0.09711003303527832	1592.83203125
1000	database-load	add_subject	0.4072291851043701	1466.9296875
10000	no-database-load	init	68.36060881614685	5234.08984375
10000	no-database-load	add_subject	79.2346363067627	5938.4921875
10000	database-load	init	0.20548152923583984	5288.18359375
10000	database-load	add_subject	3.427802324295044	6105.78125
